sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748468	LI7	0.99988	MHOM/ES/2009/LCB43	LCB43	NA	5796M	LCB43	Europe	ES	Spain	Madrid	NA	MHOM	Homo sapiens	3.70200277091475	4	NA	Human
SRR20748465	LI3	0.99988	MCAN/TR/2011/CBU13	CBU13	NA	6435M	CBU13	Middle.East	TR	Turkiye	Aydin	NA	MCAN	Canis familiaris	4.26607705166132	4	NA	Dog
SRR20748337	LI3	0.99988	MHOM/EG/87/RTC2	RTC2	NA	1208M	RTC2	North.Africa	EG	Egypt	Hanovil	NA	MHOM	Homo sapiens	4.09113285983924	4	NA	Human
SRR20748477	LI7	0.99988	MHOM/MA/2003/TIM10	TIM10	NA	4616M	TIM10	North.Africa	MA	Morocco	Marakech	NA	MHOM	Homo sapiens	3.6529458264182	4	NA	Human
SRR20748475	LI3	0.924899	MHOM/MA/83/DPPE4	DPPE4	NA	481M	DPPE4	North.Africa	MA	Morocco	Rabat	NA	MHOM	Homo sapiens	3.53418471135793	4	NA	Human
SRR20748331	LI3	0.999874	MHOM/TN/80/IPT1	IPT1	NA	235M	IPT1	North.Africa	TN	Tunisia	Monastir	NA	MHOM	Homo sapiens	3.70408170060488	4	NA	Human
SRR20748479	LI3	0.999873	MHOM/TN/2000/TUM56	TUM56	NA	4022M	TUM56	North.Africa	TN	Tunisia	Monastir	NA	MHOM	Homo sapiens	3.96515650401285	4	NA	Human
SRR7970013	LI12	0.996732	MHOM/BR/NA/MA03A	MA03A	NA	SRR7970013	MA03A	Americas	BR	Brazil	Maranhão	NA	MHOM	Homo sapiens	3.78837407203122	4	NA	Human
SRR7970015	LI12	0.99988	MHOM/BR/NA/MA01A	MA01A	NA	SRR7970015	MA01A	Americas	BR	Brazil	Maranhão	NA	MHOM	Homo sapiens	4.03431855562829	4	NA	Human
SRR7970016	LI12	0.967383	MHOM/BR/NA/MA02A	MA02A	NA	SRR7970016	MA02A	Americas	BR	Brazil	Maranhão	NA	MHOM	Homo sapiens	3.52796650396784	4	NA	Human
SRR7970021	LI6	0.980355	MHOM/BR/NA/MG13A	MG13A	NA	SRR7970021	MG13A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.00304191235201785	0	NA	Human
SRR7970024	LI1	0.99988	MHOM/BR/NA/MG18A	MG18A	NA	SRR7970024	MG18A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.00334478203283567	0	NA	Human
SRR7970026	LI1	0.99988	MHOM/BR/NA/MG16A	MG16A	NA	SRR7970026	MG16A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.0037190259504301	0	NA	Human
SRR7970028	LI10	0.934185	MHOM/BR/NA/PI03A	PI03A	NA	SRR7970028	PI03A	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0	0	NA	Human
