sample	population	population_proportion	source_country	source_state_or_region	host_species
SRR20748413	10	0.99988	Brazil	Mato Grosso	NA
SRR20748410	10	0.99988	Brazil	Rio Grande do Norte	Human
SRR20748408	10	0.999878	Brazil	Rio Grande do Norte	Human
SRR20748407	10	0.99988	Brazil	Rio Grande do Norte	Human
SRR20748406	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748403	10	0.99988	Brazil	São Paulo	Dog
SRR20748402	3	0.99988	Brazil	São Paulo	Dog
SRR20748401	8	0.986326	Brazil	Maranhão	NA
SRR20748399	8	0.981384	Brazil	Maranhão	NA
SRR20748398	8	0.958168	Brazil	Maranhão	Dog
SRR20748396	7	0.999871	Brazil	Maranhão	NA
SRR20748395	8	0.992851	Brazil	Maranhão	NA
SRR20748392	11	0.939293	Brazil	Rio de Janeiro	Dog
SRR20748391	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748390	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748388	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748387	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748386	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748352	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748351	9	0.999878	Brazil	Santa Catarina	Dog
SRR20748350	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748349	3	0.99988	Brazil	Santa Catarina	NA
SRR20748347	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748345	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748344	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748343	3	0.99988	Brazil	Santa Catarina	Dog
SRR20748342	9	0.999871	Brazil	Santa Catarina	Dog
SRR20748341	9	0.99988	Brazil	Santa Catarina	Dog
SRR20748340	9	0.999879	Brazil	Santa Catarina	Dog
SRR20748339	11	0.99988	Brazil	Rio de Janeiro	Dog
SRR20748459	3	0.99988	Brazil	Piauí	NA
SRR20748458	8	0.99988	Brazil	Piauí	Homo sapiens
SRR20748455	8	0.908339	Brazil	Piauí	Homo sapiens
SRR20748443	1	0.999874	Brazil	Minas Gerais	Homo sapiens
SRR20748442	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748441	1	0.99988	Brazil	Piauí	NA
SRR20748440	1	0.99988	Brazil	Piauí	NA
SRR20748439	1	0.99988	Brazil	Piauí	NA
SRR20748437	11	0.99988	Brazil	Piauí	NA
SRR20748436	6	0.99988	Brazil	Piauí	NA
SRR20748434	1	0.99988	Brazil	Piauí	NA
SRR20748433	6	0.999874	Brazil	Piauí	NA
SRR20748432	6	0.999869	Brazil	Piauí	NA
SRR20748430	6	0.999878	Brazil	Piauí	NA
SRR20748429	6	0.999873	Brazil	Piauí	NA
SRR20748428	11	0.99988	Brazil	Piauí	NA
SRR20748425	11	0.99988	Brazil	Espírito Santo	NA
SRR20748424	6	0.925705	Brazil	Piauí	NA
SRR20748423	6	0.99988	Brazil	Piauí	NA
SRR20748422	6	0.99988	Brazil	Piauí	NA
SRR20748421	6	0.999878	Brazil	Piauí	NA
SRR20748420	1	0.999861	Brazil	Espírito Santo	NA
SRR20748419	1	0.99988	Brazil	Piauí	NA
SRR20748417	6	0.99988	Brazil	Piauí	NA
SRR20748383	1	0.99988	Brazil	Piauí	NA
SRR20748381	6	0.999872	Brazil	Piauí	Homo sapiens
SRR20748380	7	0.978472	Brazil	Piauí	Homo sapiens
SRR20748379	8	0.99988	Brazil	Piauí	Homo sapiens
SRR20748374	6	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748372	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748371	1	0.900804	Brazil	Minas Gerais	Homo sapiens
SRR20748370	11	0.99988	Brazil	Espírito Santo	Homo sapiens
SRR20748369	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748364	6	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748363	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748361	6	0.999879	Brazil	Minas Gerais	Homo sapiens
SRR20748358	1	0.961687	Brazil	Minas Gerais	Homo sapiens
SRR20748357	11	0.99988	Brazil	Espírito Santo	Homo sapiens
SRR20748354	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748322	1	0.909297	Brazil	Minas Gerais	Homo sapiens
SRR20748321	1	0.99988	Brazil	Minas Gerais	Homo sapiens
SRR20748310	11	0.971629	Paraguay	NA	Dog
SRR20748450	11	0.99988	Uruguay	NA	NA
ERR205800	12	0.99988	Brazil	Rio de Janeiro	Human
SRR7970013	8	0.910622	Brazil	Maranhão	Homo sapiens
SRR7970015	8	0.921218	Brazil	Maranhão	Homo sapiens
SRR7970016	8	0.907522	Brazil	Maranhão	Homo sapiens
SRR7970020	6	0.913427	Brazil	Maranhão	Homo sapiens
SRR7970024	1	0.987681	Brazil	Minas Gerais	Homo sapiens
