sample	population	population_proportion	who_id	strain_code	clioc_id	other_id1	other_id2	source_geographic_region	country_code	source_country	source_state_or_region	source_town	host_code	host_species	coverage	coverage_rounded	...16	host_species_clean
SRR20748322	LO10	0.911365	MHOM/BR/1996/UB194	UB194	NA	UB194	UB194	Americas	BR	Brazil	Minas Gerais	Capitão Eneas	MHOM	Homo sapiens	0.23263628809502301	0	NA	Human
SRR20748321	LO10	0.99989	MHOM/BR/1997/UB203	UB203	NA	UB203	UB203	Americas	BR	Brazil	Minas Gerais	Francisco Sá	MHOM	Homo sapiens	0	0	NA	Human
SRR20748310	LO11	0.99989	MCAN/PY/2009/EG15	EG15	IOCL 3095	3095	EG15	Americas	PY	Paraguay	NA	NA	MCAN	Dog	0	0	DUPLICATE	Dog
SRR20748451	LO11	0.99989	MCAN/UY/2015/bCH11	bCH11	NA	bCH11	bCH11	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748450	LO11	0.99989	MCAN/UY/2015/bPL7	bPL7	NA	bPL7	D4	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748447	LO11	0.912688	MCAN/UY/2015/gPL8	gPL8	NA	gPL8	gPL8	Americas	UY	Uruguay	NA	NA	MCAN	NA	0.0394153222296938	0	DUPLICATE	NA
SRR20748445	LO11	0.939531	MCAN/UY/2015/mCO8	mCO8	NA	mCO2	mCO2	Americas	UY	Uruguay	NA	NA	MCAN	NA	0	0	DUPLICATE	NA
SRR20748463	LO3	0.99989	MNYT/CN/80/RACOONDOG	RACOONDOG	NA	666M	RACOONDOG	Central.East.Asia	CN	China	Miyun	NA	MNYT	Nyctomys procyonoides	3.59634240806927	4	NA	Dog
SRR20748453	LO3	0.99989	MHOM/CN/79/STRAIN-B	STRAIN-B	NA	970M	STRAIN-B	Central.East.Asia	CN	China	Shandong	NA	MHOM	Homo sapiens	3.01344877900073	3	NA	Human
SRR20748472	LO3	0.99989	MCAN/UZ/2007/LRC-L1308	LRC-L1308	NA	5536M	LRC-L1308	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.92054077451714	4	NA	Dog
SRR20748470	LO3	0.99989	MCAN/UZ/2007/LRC-L1309	LRC-L1309	NA	5537M	LRC-L1309	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.80644558638974	4	NA	Dog
SRR20748469	LO3	0.99989	MCAN/UZ/2007/LRC-L1310	LRC-L1310	NA	5538M	LRC-L1310	Central.East.Asia	UZ	Uzbekistan	Namangan Region	NA	MCAN	Canis familiaris	3.74827028897386	4	NA	Dog
SRR20748480	LO1	0.99989	MCAN/AL/98/C78L574-2	C78L574-2	NA	3895M	C78L574-2	Europe	AL	Albania	Tirana	NA	MCAN	Canis familiaris	3.84813918877917	4	NA	Dog
SRR20748452	LO1	0.999885	MHOM/GR/79/LGR4	LGR4	NA	972M	LGR4	Europe	GR	Greece	Salamis	NA	MHOM	Homo sapiens	3.56727176652053	4	NA	Human
SRR20748467	LO1	0.999889	MHOM/IT/2010/LPN344	LPN344	NA	6049M	LPN344	Europe	IT	Italy	Naples	NA	MHOM	Homo sapiens	3.77278602661469	4	NA	Human
SRR20748468	LO5	0.99989	MHOM/ES/2009/LCB43	LCB43	NA	5796M	LCB43	Europe	ES	Spain	Madrid	NA	MHOM	Homo sapiens	3.70200277091475	4	NA	Human
SRR20748481	LO8	0.965318	MCAN/IL/97/LRC-L719	LRC-L719	NA	3385M	LRC-L719	Middle.East	IL	Israel	Rishon Lezion	NA	MCAN	Canis familiaris	3.23394560540459	3	NA	Dog
SRR20748465	LO1	0.999889	MCAN/TR/2011/CBU13	CBU13	NA	6435M	CBU13	Middle.East	TR	Turkiye	Aydin	NA	MCAN	Canis familiaris	4.26607705166132	4	NA	Dog
SRR20748336	LO1	0.99989	MCAN/YE/88/LEM1267	LEM1267	NA	1267M	LEM1267	Middle.East	YE	Yemen	Tihama	NA	MCAN	Canis familiaris	3.98887823338714	4	NA	Dog
SRR20748337	LO1	0.99989	MHOM/EG/87/RTC2	RTC2	NA	1208M	RTC2	North.Africa	EG	Egypt	Hanovil	NA	MHOM	Homo sapiens	4.09113285983924	4	NA	Human
SRR20748477	LO5	0.99989	MHOM/MA/2003/TIM10	TIM10	NA	4616M	TIM10	North.Africa	MA	Morocco	Marakech	NA	MHOM	Homo sapiens	3.6529458264182	4	NA	Human
SRR20748331	LO8	0.99989	MHOM/TN/80/IPT1	IPT1	NA	235M	IPT1	North.Africa	TN	Tunisia	Monastir	NA	MHOM	Homo sapiens	3.70408170060488	4	NA	Human
SRR20748479	LO8	0.99989	MHOM/TN/2000/TUM56	TUM56	NA	4022M	TUM56	North.Africa	TN	Tunisia	Monastir	NA	MHOM	Homo sapiens	3.96515650401285	4	NA	Human
SRR7970015	LO7	0.99989	MHOM/BR/NA/MA01A	MA01A	NA	SRR7970015	MA01A	Americas	BR	Brazil	Maranhão	NA	MHOM	Homo sapiens	4.03431855562829	4	NA	Human
SRR7970024	LO10	0.962757	MHOM/BR/NA/MG18A	MG18A	NA	SRR7970024	MG18A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.00334478203283567	0	NA	Human
SRR7970026	LO10	0.99989	MHOM/BR/NA/MG16A	MG16A	NA	SRR7970026	MG16A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	0.0037190259504301	0	NA	Human
SRR7970028	LO2	0.964868	MHOM/BR/NA/PI03A	PI03A	NA	SRR7970028	PI03A	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR7970029	LO7	0.995482	MHOM/BR/NA/MG19A	MG19A	NA	SRR7970029	MG19A	Americas	BR	Brazil	Minas Gerais	NA	MHOM	Homo sapiens	4.74e-4	0	NA	Human
SRR7970030	LO2	0.99989	MHOM/BR/NA/PI01A	PI01A	NA	SRR7970030	PI01A	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	0	0	NA	Human
SRR7970031	LO7	0.980191	MHOM/BR/NA/PI04A	PI04A	NA	SRR7970031	PI04A	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	3.66493247416894	4	NA	Human
SRR7970034	LO7	0.979228	MHOM/BR/NA/PI09A	PI09A	NA	SRR7970034	PI09A	Americas	BR	Brazil	Piauí	NA	MHOM	Homo sapiens	3.74259923803045	4	NA	Human
SRR10478767	LO6	0.99989	MHOM/BR/NA/P2492	P2492	NA	SRR10478767	P2492	Americas	BR	Brazil	Maranhão	NA	MHOM	NA	2.12407554631198	2	NA	NA
SRR10478770	LO6	0.933315	MHOM/BR/NA/P2145	P2145	NA	SRR10478770	P2145	Americas	BR	Brazil	Piauí	NA	MHOM	NA	2.10902642833697	2	NA	NA
SRR10478771	LO6	0.99989	MHOM/BR/NA/P2008	P2008	NA	SRR10478771	P2008	Americas	BR	Brazil	Piauí	NA	MHOM	NA	4.15379700438281	4	NA	NA
SRR10478772	LO6	0.99989	MHOM/BR/NA/P1801	P1801	NA	SRR10478772	P1801	Americas	BR	Brazil	Maranhão	NA	MHOM	NA	2.51719460539589	3	NA	NA
SRR10478774	LO6	0.99989	MHOM/BR/NA/P1689	P1689	NA	SRR10478774	P1689	Americas	BR	Brazil	Maranhão	NA	MHOM	NA	0	0	NA	NA
